LON,LAT,RANGE,AZIMUTH,PROB,MAXSIZE
-101.78591,28.98314,81,258,100,2.75
-89.07654,35.64111,153,287,-999,-999
-88.55184,35.56117,127,288,-999,-999
-88.42058,35.71744,124,293,60,0.5
-101.40285,35.57671,140,302,-999,-999
-99.91948,36.56829,140,341,-999,-999
-100.1724,36.74006,154,338,-999,-999
-100.79141,36.52176,157,326,-999,-999
-101.56239,39.17271,130,70,-999,-999
-101.60977,39.3627,132,65,-999,-999
-100.88311,35.60797,120,309,100,0.5
-101.66452,39.03307,123,73,100,0.75
-90.20969,32.12169,133,311,-999,-999
-89.97654,32.30605,132,318,-999,-999
-89.6421,32.04554,109,319,20,0.5
-89.9309,32.15801,124,316,20,0.5
-89.34767,32.07289,101,326,90,1
-89.69083,32.14244,115,320,90,1
-100.76414,36.54196,175,165,-999,-999
-102.14015,41.45841,127,351,-999,-999
-101.58713,39.41546,6,61,30,0.5
-101.405,40.27286,56,14,30,0.5
-101.25089,39.79387,33,39,60,0.5
-101.35583,40.3492,61,15,90,0.5
-101.56468,39.21663,11,145,90,0.75
-101.64342,39.05316,19,172,100,1
-102.26761,41.9633,132,169,-999,-999
-84.95919,30.61075,57,153,40,0.5
-101.36655,29.00022,149,198,-999,-999
-101.6593,29.06073,151,204,-999,-999
-101.76777,28.95671,159,205,-999,-999
-101.32069,29.12775,141,198,-999,-999
-87.70852,35.67282,67,198,20,0.5
-88.43504,35.68959,84,222,30,0.5
-88.67633,35.67026,93,227,30,0.5
-88.5445,35.54626,94,221,50,0.5
-89.06481,35.62875,109,233,100,0.5
-79.34894,30.90328,136,140,-999,-999
-84.95842,30.61969,50,86,60,0.5
-89.33468,32.08805,35,109,90,1
-89.67495,32.1339,18,119,100,1
-100.87398,35.60148,147,66,-999,-999
-101.39981,35.5779,123,62,60,0.5
-101.29815,29.10559,175,259,-999,-999
-86.41419,36.06101,13,68,30,0.5
-101.09597,36.39907,76,23,80,0.5
-101.35218,35.61903,29,37,80,0.5
-99.93908,36.55204,117,47,90,0.5
-100.68084,35.71267,58,60,90,0.5
-100.85898,35.63059,48,60,100,0.75
-100.76799,36.54472,91,30,100,0.75
-101.54232,39.6537,145,198,-999,-999
-101.27146,39.8035,133,194,-999,-999
-101.51865,39.21475,170,195,-999,-999
-101.64788,39.03416,182,196,-999,-999
-101.56894,39.43322,158,197,-999,-999
-101.72922,39.34961,165,199,-999,-999
-102.20678,41.94642,73,270,50,0.5
-102.11818,41.47916,75,248,60,0.5
-102.06519,41.67001,69,256,60,0.5
-102.06215,41.4269,74,245,60,0.5
-101.37273,40.27843,107,200,90,0.5
-101.5574,39.2107,143,103,-999,-999
-101.615,39.38874,138,99,-999,-999
-101.65734,39.01778,142,108,-999,-999
-90.33464,28.21116,130,192,-999,-999
-90.83241,27.56722,174,198,-999,-999
-90.84957,27.9615,152,201,-999,-999
